"국가별",초등교육,초등교육,초등교육,중등교육,중등교육,중등교육,고등교육,고등교육,고등교육
"국가별",2012,2013,2014,2012,2013,2014,2012,2013,2014
"아시아",,,,,,,,,
"한국",7395,7957,9656,8355,8592,10316,9866,9323,9570
"이스라엘",6931,6941,6833,5689,5831,6699,12338,15185,12989
"일본",8595,8748,9062,10170,10273,10739,16872,17883,18022
"터키",2577,2894,3589,2904,3590,3268,7779,10637,8927
"북아메리카",,,,,,,,,
"캐나다",-,9130,9256,-,-,12780,-,21458,21326
"멕시코",2632,2717,2896,3007,3065,3219,8115,7568,8949
"미국",11030,10959,11319,12442,12740,12995,26562,27924,29328
"남아메리카",,,,,,,,,
"칠레",4551,4476,4021,4495,3909,4127,8333,7960,7642
"유럽",,,,,,,,,
"오스트리아",9563,10780,11154,13806,15024,15094,15549,16695,16933
"벨기에",9581,9957,10216,12025,12763,13118,15503,15911,16599
"체코",4728,4730,5101,7469,7861,8191,10319,10432,10521
"덴마크",10953,11355,12158,10632,10933,10998,-,16460,16568
"에스토니아",5668,7138,6760,6791,6417,7077,8206,11607,12375
"핀란드",8316,8519,8812,9985,10237,10387,17863,17868,17893
"프랑스",7013,7201,7396,11046,11482,11815,15281,16194,16422
"독일",7749,8103,8546,10650,11106,11684,17157,16895,17180
"헝가리",4370,5435,3789,4419,4236,6104,8876,9980,8688
"아이슬란드",10003,10569,11163,8724,9041,10078,9377,11256,11435
"아일랜드",8681,8002,8007,11298,10804,10665,14922,13663,14131
"이탈리아",7924,8392,8442,8774,9023,8927,10071,11172,11510
"라트비아",3489,5974,6585,3610,6010,6629,5262,8193,8962
"룩셈부르크",20020,17959,21153,20617,19762,21595,32876,40933,46526
"네덜란드",8185,8371,8529,12296,12269,12446,19276,18947,19159
"노르웨이",12728,13274,13104,14450,15283,15149,20016,20379,20962
"폴란드",6721,6919,7026,6540,6505,6455,9799,8929,9708
"포르투갈",6105,7258,6474,8691,10074,8821,9196,11106,11813
"슬로바키아",5415,5942,6235,5152,5795,6453,9022,10321,11290
"슬로베니아",9015,9121,9335,8022,8739,8785,11002,12064,12067
"스페인",7111,6956,6970,9141,8520,8528,12356,12604,12489
"스웨덴",10312,10664,10804,11177,11354,11342,22534,23219,24072
"스위스",13889,15930,15177,16731,18994,15022,25264,25126,27831
"영국",10017,10669,11367,10085,12200,12452,24338,25744,24542
"오세아니아",,,,,,,,,
"오스트레일리아",7705,8289,8251,10165,10932,11023,16859,18337,18038
"뉴질랜드",7069,7354,7438,9409,10198,10267,13740,14585,15088
